link,listed,address,price,bedrooms,bathrooms,area (m2),latitude,longitude
https://www.realestate.co.nz/42724129/residential/sale/15-gallipoli-place-paraparaumu,2 days ago,"15 Gallipoli Place, Paraparaumu","Buyer Enquiry Over $995,000",4.0,2.0,868.0,,
https://www.realestate.co.nz/42724128/residential/sale/75-eatwell-avenue-paraparaumu-beach,2 days ago,"75 Eatwell Avenue, Paraparaumu Beach","Buyer Enquiry Over $945,000",3.0,2.0,1042.0,,
https://www.realestate.co.nz/42724116/residential/sale/16-greenstone-place-aotea,2 days ago,"16 Greenstone Place, Aotea",Auction,4.0,2.0,450.0,,
https://www.realestate.co.nz/42724114/residential/sale/3-okupe-grove-aotea,2 days ago,"3 Okupe Grove, Aotea",Deadline Sale,4.0,3.0,632.0,,
https://www.realestate.co.nz/42724095/residential/sale/5-lilac-lane-maungaraki,2 days ago,"5 Lilac Lane, Maungaraki",Deadline Sale,4.0,5.0,1373.0,,
https://www.realestate.co.nz/42724087/residential/sale/13-arnot-avenue-clouston-park,2 days ago,"13 Arnot Avenue, Clouston Park",Deadline Sale,4.0,3.0,663.0,,
https://www.realestate.co.nz/42724081/residential/sale/27-matenga-street-waikanae,2 days ago,"27 Matenga Street, Waikanae",Deadline Sale,3.0,2.0,492.0,,
https://www.realestate.co.nz/42724079/residential/sale/6b-totara-street-trentham,2 days ago,"6B Totara Street, Trentham",Deadline Sale,4.0,1.0,,,
https://www.realestate.co.nz/42724057/residential/sale/192a-barnard-street-wadestown,2 days ago,"192a Barnard Street, Wadestown","Buyer Enquiry Over $1,360,000",3.0,3.0,735.0,,
https://www.realestate.co.nz/42724051/residential/sale/172-tutere-street-waikanae-beach,2 days ago,"172 Tutere Street, Waikanae Beach",Auction,3.0,1.0,732.0,,
https://www.realestate.co.nz/42724049/residential/sale/25-te-moana-road-waikanae-beach,2 days ago,"25 Te Moana Road, Waikanae Beach",Auction,2.0,1.0,809.0,,
https://www.realestate.co.nz/42723960/residential/sale/42-lohia-street-khandallah,3 days ago,"42 Lohia Street, Khandallah","Buyer Enquiry Over $1,795,000",4.0,3.0,525.0,,
https://www.realestate.co.nz/42723872/residential/sale/39-sylvan-way-silverstream,4 days ago,"39 Sylvan Way, Silverstream",Negotiation,5.0,3.0,3871.0,,
https://www.realestate.co.nz/42723832/residential/sale/52a-khandallah-road-ngaio,4 days ago,"52a Khandallah Road, Ngaio",Deadline Sale,3.0,3.0,126.0,,
https://www.realestate.co.nz/42723809/residential/sale/unit-3h-40-the-terrace-wellington-central,4 days ago,"Unit 3H/40 The Terrace, Wellington Central",Auction,3.0,1.0,,,
https://www.realestate.co.nz/42723805/residential/sale/13-carbine-place-ascot-park,4 days ago,"13 Carbine Place, Ascot Park",Deadline Sale,3.0,1.0,710.0,,
https://www.realestate.co.nz/42723747/residential/sale/18-erlestoke-crescent-churton-park,4 days ago,"18 Erlestoke Crescent, Churton Park",Deadline Sale,3.0,2.0,305.0,,
https://www.realestate.co.nz/42723738/residential/sale/23b-percy-cameron-street-avalon,4 days ago,"23b Percy Cameron Street, Avalon",Tender,2.0,1.0,254.0,,
https://www.realestate.co.nz/42723668/residential/sale/11a-hanson-street-and-8-27-drummond-street-mount-cook,4 days ago,"11A Hanson Street and 8/27 Drummond Street, Mount ...",Auction,3.0,1.0,,,
https://www.realestate.co.nz/42723656/residential/sale/123-knights-road-hutt-central,4 days ago,"123 Knights Road, Hutt Central",Deadline Sale,3.0,1.0,,,
https://www.realestate.co.nz/42723638/residential/sale/22-170-fraser-avenue-johnsonville,4 days ago,"22/170 Fraser Avenue, Johnsonville",Tender,3.0,3.0,,,
https://www.realestate.co.nz/42723602/residential/sale/3-ocean-parade-pukerua-bay,4 days ago,"3 Ocean Parade, Pukerua Bay",Auction,4.0,3.0,577.0,,
https://www.realestate.co.nz/42723539/residential/sale/87-wellington-road-wainuiomata,5 days ago,"87 Wellington Road, Wainuiomata",Negotiation,3.0,1.0,809.0,,
https://www.realestate.co.nz/42723492/residential/sale/68a-marchant-road-kaitoke,5 days ago,"68a Marchant Road, Kaitoke",Tender,3.0,3.0,41600.0,,
https://www.realestate.co.nz/42723485/residential/sale/203-te-moana-road-waikanae,5 days ago,"203 Te Moana Road, Waikanae",Deadline Sale,4.0,2.0,1753.0,,
https://www.realestate.co.nz/42723415/residential/sale/11-henry-street-ebdentown,5 days ago,"11 Henry Street, Ebdentown","Buyer Enquiry Over $699,000",4.0,2.0,681.0,,
https://www.realestate.co.nz/42723397/residential/sale/1-15-allen-street-boulcott,5 days ago,"1/15 Allen Street, Boulcott",Deadline Sale,3.0,1.0,,,
https://www.realestate.co.nz/42723326/residential/sale/85-churton-drive-churton-park,5 days ago,"85 Churton Drive, Churton Park",Deadline Sale,3.0,1.0,,,
